Raf,Mek,PLCg,PIP2,PIP3,Erk,Akt,PKA,PKC,p38,JNK,experiment,label
28.1,16.7,35.2,49.1,18.3,23.7,36.8,514.0,10.3,38.5,60.4,2,100
142.0,76.4,18.6,22.7,2.84,32.5,55.2,890.0,20.2,41.0,43.7,2,100
36.2,34.0,36.8,42.9,24.1,36.8,45.7,638.0,6.79,19.5,26.9,2,100
33.1,29.4,22.1,42.2,2.84,23.1,33.1,1055.0,9.65,47.0,42.2,2,100
215.0,109.0,13.9,42.9,4.18,29.4,60.4,3191.0,8.98,20.5,31.6,2,100
115.0,80.6,22.3,27.4,2.25,20.7,31.6,567.0,10.4,25.3,29.7,2,100
97.3,63.2,21.5,21.1,2.76,27.1,47.0,784.0,7.99,46.1,18.9,2,100
129.0,93.9,23.7,16.0,9.22,7.91,38.2,403.0,1.91,6.04,1.13,2,100
67.3,41.4,40.7,66.1,20.5,82.0,131.0,2017.0,10.8,16.3,27.6,2,100
46.6,29.2,17.5,58.3,14.9,19.8,37.9,947.0,5.83,17.6,25.7,2,100
58.3,40.7,16.5,150.0,12.5,14.9,35.2,914.0,3.85,13.9,28.4,2,100
52.8,43.3,30.8,21.9,2.71,37.9,56.7,1554.0,18.4,32.8,35.2,2,100
37.5,29.4,27.6,45.3,23.5,43.3,60.4,692.0,7.57,24.8,37.2,2,100
165.0,98.2,23.7,17.3,13.2,13.1,23.9,737.0,13.2,21.5,23.1,2,100
80.6,49.1,17.8,235.0,29.7,4.83,18.9,322.0,14.7,24.1,52.3,2,100
36.2,18.6,19.1,14.1,16.0,19.1,30.5,661.0,13.3,19.1,37.2,2,100
22.9,26.2,20.0,207.0,17.2,19.6,35.5,791.0,12.1,16.3,36.8,2,100
35.2,34.9,20.7,204.0,18.6,18.3,29.4,588.0,13.3,22.3,36.8,2,100
34.9,22.1,26.7,43.3,6.67,27.4,26.7,491.0,5.09,5.73,22.1,2,100
178.0,100.0,27.4,300.0,20.5,34.3,67.3,1794.0,8.66,8.51,16.4,2,100
50.5,30.2,19.3,11.0,6.1,17.3,28.9,632.0,23.7,63.8,59.9,2,100
64.9,51.9,17.0,135.0,16.7,15.0,23.9,764.0,7.57,17.0,26.9,2,100
54.7,37.2,20.0,16.1,9.73,35.2,53.8,552.0,14.5,31.1,5.14,2,100
30.5,21.7,21.5,95.6,4.33,16.7,28.1,947.0,6.55,22.9,20.4,2,100
51.4,32.8,32.8,23.9,21.1,13.6,23.7,843.0,9.56,21.7,21.9,2,100
69.2,40.3,20.2,62.6,19.5,2.15,7.37,21.3,14.6,42.2,38.2,2,100
36.8,22.7,28.1,23.1,4.78,20.7,32.8,433.0,42.2,104.0,95.6,2,100
47.0,37.2,12.6,35.2,3.08,12.1,24.1,673.0,2.29,23.7,17.5,2,100
37.2,29.2,35.5,29.7,19.6,56.7,82.0,1827.0,1.35,10.3,24.4,2,100
50.5,29.2,15.0,143.0,7.91,17.9,32.5,470.0,6.85,24.4,15.7,2,100
15.3,30.5,19.5,154.0,10.6,30.0,47.4,594.0,7.91,36.8,43.3,2,100
38.2,21.9,36.5,382.0,44.5,17.0,39.2,500.0,11.1,24.1,32.5,2,100
64.4,35.9,18.1,20.5,6.49,26.2,60.4,1640.0,20.4,42.6,42.2,2,100
172.0,95.6,15.5,40.7,11.1,3.28,12.3,737.0,8.2,21.5,18.9,2,100
35.5,28.1,17.8,20.5,11.2,50.9,89.0,890.0,6.15,7.23,14.9,2,100
40.3,21.5,51.4,223.0,31.6,15.8,41.4,610.0,6.15,20.2,20.9,2,100
22.9,19.3,13.9,16.7,7.77,111.0,172.0,2054.0,9.31,20.5,22.5,2,100
53.8,49.6,25.5,20.2,6.32,6.15,13.0,939.0,24.6,45.3,68.5,2,100
147.0,89.0,33.7,269.0,23.3,8.98,22.7,1000.0,11.1,20.0,34.9,2,100
95.6,64.9,30.8,198.0,38.2,63.2,127.0,2308.0,14.2,25.5,52.3,2,100
75.7,63.8,55.7,311.0,62.1,37.2,63.8,1685.0,13.0,26.2,38.2,2,100
79.1,52.3,12.9,138.0,12.1,172.0,453.0,4826.0,7.64,28.9,28.4,2,100
42.9,30.8,23.1,18.6,1.86,4.53,17.8,1065.0,5.78,19.1,12.3,2,100
157.0,93.9,16.5,16.4,1.68,18.4,35.9,649.0,8.9,26.7,21.1,2,100
223.0,153.0,10.7,87.4,6.04,38.2,69.2,2288.0,34.9,80.6,120.0,2,100
33.1,20.9,21.5,84.3,17.2,17.6,27.9,573.0,9.73,24.1,16.4,2,100
57.8,7.57,16.3,158.0,21.5,42.6,73.7,1009.0,5.0,12.0,17.6,2,100
233.0,286.0,46.6,302.0,47.8,12.2,17.5,679.0,9.82,22.3,73.0,2,100
52.3,45.3,10.4,83.5,6.98,14.2,31.3,931.0,7.23,26.4,42.2,2,100
43.7,27.6,25.9,22.3,3.59,30.8,44.1,594.0,17.9,54.2,94.7,2,100
36.2,19.3,21.3,16.4,1.53,28.9,40.0,890.0,6.32,30.5,17.6,2,100
54.7,42.2,20.2,16.5,4.91,45.7,78.4,3652.0,12.9,19.5,29.7,2,100
60.4,35.5,14.1,124.0,18.1,1.0,2.71,10.6,40.7,71.0,86.6,2,100
59.9,48.7,30.2,209.0,8.06,22.1,41.0,509.0,8.43,21.5,18.1,2,100
22.9,26.9,20.2,19.6,5.23,10.3,13.3,255.0,10.1,22.5,19.6,2,100
164.0,225.0,18.4,52.8,1.46,50.0,68.5,453.0,2.39,18.4,13.9,2,100
44.5,33.7,19.3,35.2,12.0,3.68,21.9,445.0,10.5,16.8,25.3,2,100
36.5,22.5,17.2,16.5,7.3,21.5,48.7,604.0,21.9,42.9,44.1,2,100
23.9,7.57,20.5,121.0,11.2,35.5,46.6,615.0,34.0,75.7,75.0,2,100
49.6,41.4,25.7,11.1,9.06,28.9,57.3,1762.0,5.0,27.1,33.1,2,100
143.0,74.3,24.4,51.4,14.7,50.0,82.8,2414.0,50.5,100.0,87.4,2,100
35.2,16.3,16.8,20.0,13.9,9.06,34.0,407.0,7.3,29.2,35.2,2,100
36.5,22.1,15.8,111.0,24.6,31.1,56.2,685.0,7.37,16.1,2.5,2,100
34.3,21.1,14.6,132.0,12.5,9.56,14.9,799.0,6.15,16.5,25.5,2,100
20.0,17.6,5.99,6.92,11.2,3.65,10.4,552.0,11.0,22.3,21.5,2,100
73.0,50.0,28.9,32.2,18.8,10.2,17.9,319.0,8.43,17.0,42.2,2,100
161.0,89.0,19.5,142.0,5.99,18.4,24.6,704.0,4.96,19.5,12.4,2,100
31.3,31.3,18.8,17.3,1.86,21.7,49.6,1433.0,14.1,29.2,30.2,2,100
27.1,28.4,16.1,20.5,19.1,14.7,25.9,626.0,1.0,46.1,3.08,2,100
205.0,137.0,19.1,17.0,8.28,26.9,59.4,956.0,7.7,16.1,28.6,2,100
47.4,38.5,24.6,31.3,1.0,57.3,93.9,1911.0,10.8,17.3,18.9,2,100
52.8,31.3,44.9,264.0,30.2,12.1,35.9,1263.0,13.9,27.9,21.7,2,100
164.0,87.4,22.1,26.4,1.96,12.1,13.9,533.0,12.5,31.9,25.7,2,100
55.7,29.4,33.1,626.0,41.4,11.2,23.7,784.0,9.31,15.7,36.2,2,100
40.0,44.1,63.8,346.0,71.7,12.7,29.2,578.0,16.7,41.4,53.3,2,100
85.8,71.0,19.1,28.1,10.4,31.9,57.3,1582.0,9.22,13.7,34.3,2,100
47.4,33.1,65.5,141.0,19.5,33.4,46.1,426.0,13.8,30.2,20.2,2,100
37.5,28.1,13.9,34.0,3.92,11.3,21.9,1155.0,9.31,20.7,24.1,2,100
26.7,15.0,9.82,154.0,7.04,25.7,39.6,325.0,14.7,29.7,52.8,2,100
37.9,29.4,27.4,24.1,1.33,15.4,31.1,547.0,7.64,9.56,20.7,2,100
29.4,22.5,45.7,328.0,21.5,94.7,170.0,2167.0,7.17,20.7,30.8,2,100
33.1,26.4,21.5,50.9,6.98,117.0,135.0,445.0,49.6,109.0,103.0,2,100
38.2,18.1,10.0,20.4,8.58,12.2,31.9,784.0,9.65,28.4,22.7,2,100
36.8,24.4,15.7,44.5,5.62,23.7,43.7,1018.0,109.0,281.0,355.0,2,100
41.0,31.9,20.0,105.0,16.8,34.0,67.9,1640.0,16.0,36.5,32.2,2,100
141.0,76.4,24.8,35.9,3.4,4.53,10.2,922.0,9.22,22.5,25.9,2,100
42.9,35.9,14.7,124.0,19.8,30.2,48.7,1104.0,2.97,13.2,18.4,2,100
66.7,30.2,1.0,14.3,7.17,40.7,64.4,449.0,1.0,6.21,3.92,2,100
28.1,12.4,24.8,22.5,6.1,14.6,40.7,514.0,8.35,20.9,24.1,2,100
21.3,22.3,53.3,337.0,67.9,7.37,8.51,334.0,6.79,15.0,13.5,2,100
28.6,22.5,10.6,19.1,19.8,60.4,147.0,2548.0,17.3,41.8,67.9,2,100
225.0,149.0,9.39,11.3,10.4,24.8,59.9,1640.0,1.0,13.1,17.3,2,100
143.0,161.0,26.9,16.1,11.7,8.43,25.9,799.0,23.3,47.8,39.6,2,100
32.5,27.6,20.0,56.7,5.47,30.5,45.7,1208.0,27.6,64.9,131.0,2,100
40.7,21.5,21.7,50.9,11.3,28.4,42.2,578.0,2.0,17.9,16.0,2,100
53.3,47.4,29.2,47.4,13.0,9.39,23.5,1094.0,1.06,119.0,6.92,2,100
85.8,46.1,58.3,355.0,62.1,13.0,27.9,466.0,32.8,99.1,59.9,2,100
51.9,37.5,53.3,198.0,71.0,9.22,18.1,533.0,19.3,29.4,54.7,2,100
67.3,72.3,10.5,119.0,5.19,23.3,41.0,632.0,47.4,131.0,264.0,2,100
30.0,30.5,2.62,3.28,1.0,5.09,12.7,710.0,8.13,15.3,13.3,2,100
24.1,18.3,17.9,97.3,7.1,63.2,112.0,1911.0,17.6,27.9,35.2,2,100
32.2,19.1,14.3,77.0,12.1,17.5,30.2,562.0,18.3,50.0,62.6,2,100
36.2,31.6,22.5,41.0,10.1,12.4,27.9,965.0,18.8,57.3,64.4,2,100
72.3,53.8,24.8,20.7,3.92,16.3,28.9,1298.0,50.9,84.3,89.8,2,100
34.9,25.7,20.4,81.3,2.97,21.5,50.5,1165.0,6.67,30.5,23.5,2,100
151.0,80.6,43.3,47.0,15.7,20.0,49.1,704.0,8.74,11.3,15.0,2,100
34.0,15.4,16.8,57.8,7.57,35.2,49.6,1762.0,9.31,28.6,27.1,2,100
104.0,82.0,12.3,1.19,21.9,17.0,23.3,523.0,14.1,26.4,27.1,2,100
88.2,35.9,20.0,131.0,11.4,34.6,55.2,1144.0,15.1,34.3,27.1,2,100
107.0,56.2,19.6,195.0,15.3,29.4,46.6,638.0,8.35,21.1,13.9,2,100
3.49,4.41,25.9,26.7,2.05,20.0,40.7,828.0,7.99,28.1,27.9,2,100
50.5,33.4,51.9,385.0,57.8,16.7,22.9,487.0,4.18,18.1,32.2,2,100
79.1,56.2,4.78,66.1,6.32,39.6,79.1,2503.0,25.0,62.1,72.3,2,100
51.4,27.4,65.5,418.0,59.4,24.6,41.8,799.0,13.9,33.7,31.1,2,100
48.3,33.4,25.0,28.6,6.1,3.92,8.9,158.0,3.28,12.7,19.3,2,100
77.0,50.5,18.9,150.0,10.7,29.2,49.1,874.0,8.58,200.0,7.23,2,100
41.0,27.6,20.0,16.1,1.31,13.7,42.9,610.0,36.8,77.0,121.0,2,100
50.0,25.3,16.7,80.6,8.43,22.1,36.8,583.0,7.57,10.6,23.1,2,100
57.3,35.5,62.6,437.0,49.1,4.53,15.1,806.0,47.4,59.4,14.3,2,100
34.0,16.0,12.1,289.0,22.7,17.8,20.7,505.0,13.3,29.7,32.5,2,100
31.9,23.5,25.3,23.5,3.31,10.7,24.6,851.0,11.9,22.7,7.37,2,100
39.6,28.1,18.1,28.9,20.9,19.1,29.7,557.0,18.6,65.5,73.0,2,100
88.2,63.8,78.4,337.0,51.4,28.4,44.5,828.0,17.9,52.3,55.2,2,100
65.5,42.9,23.3,22.5,12.6,13.5,19.1,441.0,6.1,23.3,34.3,2,100
108.0,71.7,16.8,183.0,23.9,16.1,30.0,400.0,13.6,21.5,44.1,2,100
27.9,26.2,14.1,292.0,25.5,13.9,38.5,730.0,5.73,23.3,26.7,2,100
114.0,69.8,12.2,211.0,10.3,63.8,98.2,1655.0,11.2,24.4,30.0,2,100
48.7,28.9,32.2,31.3,17.0,32.8,57.8,1298.0,19.1,49.6,54.7,2,100
41.0,18.1,14.6,22.1,1.0,24.4,38.9,594.0,9.56,17.9,7.3,2,100
34.9,19.6,20.2,13.1,1.0,55.2,115.0,1843.0,7.04,25.3,36.2,2,100
17.5,11.5,29.2,18.8,5.94,27.6,48.7,757.0,27.6,64.4,65.5,2,100
67.9,71.7,18.1,14.2,9.14,39.2,47.8,939.0,15.0,34.9,54.2,2,100
170.0,105.0,18.1,55.2,5.73,49.1,73.0,828.0,10.3,20.2,44.5,2,100
31.9,25.5,29.7,24.8,2.64,1.0,10.2,38.9,8.28,12.0,33.4,2,100
31.9,22.7,12.6,215.0,18.9,18.8,37.9,685.0,2.46,58.3,6.79,2,100
29.2,22.9,20.9,74.3,4.03,12.0,28.1,414.0,5.78,16.8,13.8,2,100
37.5,22.5,16.8,151.0,12.2,113.0,227.0,2642.0,8.98,14.9,4.33,2,100
81.3,61.0,13.6,64.9,11.1,17.9,58.8,500.0,15.5,25.5,28.6,2,100
77.7,55.2,18.3,127.0,11.9,55.2,84.3,1055.0,46.1,93.9,105.0,2,100
27.6,18.9,21.1,75.0,18.9,16.1,29.2,1165.0,29.4,65.5,81.3,2,100
75.7,37.9,10.2,8.98,7.7,10.2,28.1,461.0,22.9,42.9,64.4,2,100
47.8,30.8,26.2,37.9,5.99,7.5,7.04,414.0,35.9,82.8,160.0,2,100
178.0,108.0,54.2,274.0,29.7,41.0,71.0,1928.0,8.06,19.1,28.6,2,100
73.0,43.7,26.2,343.0,42.2,49.6,80.6,1124.0,18.4,43.3,66.1,2,100
34.3,21.3,4.29,13.5,9.31,9.82,25.7,649.0,1.0,64.4,4.33,2,100
49.1,11.9,63.8,445.0,66.1,30.5,50.9,437.0,9.73,15.4,15.4,2,100
50.9,36.8,21.7,274.0,20.2,12.3,21.5,491.0,10.9,33.4,45.3,2,100
36.5,20.9,20.7,68.5,24.4,77.0,110.0,372.0,9.73,14.9,26.4,2,100
73.7,16.8,32.5,24.1,1.0,34.3,55.2,567.0,9.56,22.3,20.5,2,100
42.6,28.6,18.6,37.9,13.5,9.65,24.6,359.0,5.23,18.3,13.6,2,100
91.4,55.2,18.3,196.0,10.6,33.7,50.9,655.0,10.6,27.4,43.3,2,100
139.0,94.7,20.9,73.7,10.2,27.9,48.3,1197.0,15.7,36.2,46.1,2,100
62.1,41.0,27.4,22.5,1.79,8.43,20.7,528.0,12.0,23.9,12.6,2,100
63.8,41.0,22.3,14.9,1.09,30.5,64.9,1843.0,13.3,34.0,25.3,2,100
89.8,82.0,12.5,27.4,10.1,17.3,31.1,882.0,16.5,47.0,68.5,2,100
26.9,23.9,13.8,64.9,10.9,26.4,42.9,461.0,6.55,25.7,32.8,2,100
112.0,69.2,23.3,45.7,10.8,28.6,59.9,1346.0,3.08,8.51,7.84,2,100
69.2,36.8,26.9,19.3,7.37,17.9,33.4,1000.0,11.8,16.7,25.9,2,100
28.9,18.3,44.1,433.0,67.3,21.1,29.7,449.0,11.0,36.2,42.6,2,100
28.1,13.0,7.99,145.0,16.3,17.0,34.3,649.0,11.8,30.2,52.8,2,100
23.3,13.1,82.0,239.0,26.2,30.8,50.5,956.0,16.8,26.9,18.6,2,100
181.0,97.3,22.5,105.0,12.9,1.0,6.67,1.0,8.58,20.9,11.3,2,100
136.0,87.4,14.1,161.0,21.9,22.5,43.3,2996.0,10.9,25.3,27.9,2,100
48.3,21.5,21.5,21.1,9.14,6.61,22.9,573.0,35.2,71.0,147.0,2,100
52.3,28.1,17.2,253.0,31.9,42.6,73.7,723.0,4.14,37.5,16.0,2,100
31.3,18.8,54.2,300.0,42.2,32.5,58.3,1946.0,1.91,5.38,15.7,2,100
44.1,18.4,23.5,22.7,6.61,22.9,36.8,496.0,16.0,34.0,14.5,2,100
44.1,42.2,14.5,204.0,13.8,20.7,42.6,509.0,13.3,39.2,61.5,2,100
31.9,16.5,12.9,146.0,28.1,60.4,106.0,1778.0,49.1,137.0,205.0,2,100
37.5,25.3,21.3,40.3,10.6,13.0,54.7,362.0,31.6,66.1,71.7,2,100
115.0,98.2,20.5,15.4,10.4,23.5,63.8,3652.0,11.8,22.5,18.4,2,100
27.9,27.4,32.2,274.0,34.6,19.3,29.7,213.0,2.5,110.0,8.74,2,100
34.3,19.5,22.5,205.0,17.8,16.4,29.7,528.0,21.7,41.4,10.4,2,100
118.0,77.7,16.5,112.0,21.7,7.04,3.72,764.0,12.4,20.9,36.2,2,100
33.4,13.3,34.0,41.0,10.8,10.7,28.6,866.0,10.9,25.9,20.0,2,100
21.5,36.2,35.9,141.0,29.4,36.2,64.4,3460.0,11.5,30.5,43.3,2,100
74.3,41.8,48.7,253.0,29.2,21.5,46.6,649.0,6.85,18.4,45.3,2,100
37.2,18.9,22.1,11.1,8.82,16.8,104.0,2227.0,18.8,68.5,61.5,2,100
28.6,31.6,40.7,433.0,56.7,3.43,12.4,898.0,5.73,28.4,13.7,2,100
41.8,25.7,20.9,14.1,5.38,12.9,35.2,362.0,13.1,21.7,21.5,2,100
274.0,196.0,22.3,43.7,8.35,6.73,23.1,1104.0,8.98,25.7,17.2,2,100
27.6,25.5,19.8,36.8,5.42,12.6,20.5,562.0,12.4,46.6,52.3,2,100
121.0,79.9,29.7,23.9,14.5,25.7,32.5,673.0,9.65,15.4,33.1,2,100
237.0,170.0,70.4,241.0,41.4,37.5,53.8,322.0,9.22,15.8,15.8,2,100
48.3,23.9,18.8,42.6,6.55,40.3,50.5,453.0,20.4,33.1,52.8,2,100
163.0,114.0,24.4,24.4,14.3,49.1,71.7,599.0,49.6,96.5,105.0,2,100
241.0,151.0,19.8,15.8,7.77,14.1,26.7,615.0,10.1,37.5,42.9,2,100
74.3,58.8,12.7,150.0,8.13,11.4,22.7,552.0,8.9,21.7,18.4,2,100
60.4,40.7,44.9,239.0,40.3,5.33,17.2,743.0,8.98,17.2,37.2,2,100
32.2,16.7,33.1,311.0,45.7,37.5,63.2,698.0,12.5,36.2,56.7,2,100
51.9,37.5,18.3,24.4,5.14,18.6,20.5,319.0,6.26,11.4,35.9,2,100
133.0,80.6,28.4,36.8,6.61,37.9,51.9,343.0,111.0,331.0,355.0,2,100
34.3,17.2,41.8,274.0,24.6,23.3,35.5,542.0,12.2,32.5,26.7,2,100
39.6,30.0,29.2,241.0,35.9,7.99,25.7,457.0,2.48,20.7,14.5,2,100
34.3,17.5,25.3,18.9,13.6,18.8,34.0,704.0,8.66,21.9,13.1,2,100
31.3,34.3,17.9,17.6,12.9,2.05,8.35,385.0,50.9,117.0,151.0,2,100
79.9,49.6,35.2,39.2,9.31,14.6,20.7,533.0,4.7,14.5,18.1,2,100
122.0,143.0,27.4,33.4,6.85,21.9,31.3,547.0,8.82,25.0,23.1,2,100
37.9,20.5,19.8,67.9,15.4,73.0,124.0,2393.0,8.13,11.7,20.4,2,100
118.0,64.4,19.1,138.0,15.4,28.9,28.9,655.0,12.5,29.7,24.8,2,100
38.9,14.5,15.8,60.4,37.9,26.4,45.7,777.0,10.8,15.3,16.1,2,100
92.2,41.8,26.4,27.4,5.67,9.31,36.8,429.0,52.8,125.0,223.0,2,100
33.1,14.6,31.1,12.2,9.06,7.7,13.7,255.0,16.0,24.4,37.5,2,100
35.5,27.6,14.9,130.0,18.8,11.8,16.5,500.0,7.23,19.5,17.3,2,100
59.4,30.8,5.94,29.4,9.22,101.0,161.0,1778.0,13.1,22.1,28.1,2,100
78.4,51.9,22.9,23.7,10.4,5.38,9.73,583.0,6.67,14.2,15.4,2,100
146.0,86.6,1.0,100.0,19.3,14.1,27.4,487.0,14.9,33.4,42.2,2,100
26.9,14.2,15.3,45.3,10.0,16.3,28.4,644.0,27.4,56.2,79.9,2,100
31.3,19.6,17.2,85.8,11.7,29.2,59.4,914.0,9.91,25.0,14.5,2,100
30.8,24.8,21.1,91.4,19.6,15.0,41.4,519.0,33.7,84.3,81.3,2,100
99.1,97.3,24.1,20.2,8.98,35.5,58.3,2350.0,7.43,24.4,18.6,2,100
30.8,22.5,11.0,62.6,6.04,34.6,60.4,1472.0,10.6,27.6,39.6,2,100
27.9,15.0,19.5,23.3,14.2,18.8,41.0,1241.0,4.22,8.2,15.4,2,100
36.8,31.3,67.9,286.0,54.7,48.7,61.0,382.0,22.3,60.4,73.0,2,100
109.0,83.5,59.4,305.0,49.6,35.9,67.9,3786.0,21.9,47.8,42.9,2,100
44.5,28.1,7.57,146.0,19.6,15.5,29.4,567.0,5.28,26.7,17.5,2,100
37.9,20.2,41.4,42.6,14.6,11.4,27.6,429.0,32.2,85.1,112.0,2,100
53.3,38.2,25.3,107.0,13.2,8.28,14.3,264.0,12.3,24.1,32.5,2,100
163.0,92.2,20.5,32.5,6.92,23.3,33.7,349.0,1.98,85.8,7.37,2,100
33.4,27.1,16.3,142.0,9.22,106.0,191.0,2129.0,10.0,21.5,23.9,2,100
34.3,13.2,21.1,24.8,12.2,25.7,51.9,519.0,10.4,23.1,30.0,2,100
18.6,5.42,20.2,22.5,4.49,40.7,62.6,692.0,27.4,52.8,61.0,2,100
37.2,23.1,7.64,22.5,13.2,79.1,147.0,1894.0,7.37,25.9,27.1,2,100
26.7,15.7,28.1,334.0,48.3,14.1,21.1,906.0,5.88,28.4,21.9,2,100
142.0,98.2,59.4,392.0,44.5,71.7,123.0,1762.0,34.3,118.0,137.0,2,100
52.3,34.0,26.9,24.1,5.73,37.9,58.8,1459.0,6.98,22.1,27.6,2,100
31.9,16.8,32.2,46.6,15.7,10.9,27.4,890.0,18.3,25.9,58.8,2,100
106.0,68.5,12.4,175.0,16.8,12.3,40.3,685.0,8.74,28.4,9.91,2,100
42.6,21.3,20.9,131.0,12.1,12.7,31.6,487.0,8.51,18.9,20.7,2,100
34.9,16.4,17.8,18.8,2.15,34.6,59.4,445.0,53.8,78.4,20.2,2,100
31.9,26.4,14.1,20.2,4.61,12.4,18.9,799.0,7.17,19.3,22.3,2,100
36.5,20.7,29.4,36.5,21.3,2.07,9.91,26.7,30.5,50.5,9.65,2,100
27.6,15.5,27.1,35.9,10.6,63.2,95.6,1197.0,13.6,17.9,21.9,2,100
26.2,20.9,22.7,10.1,7.43,15.4,37.2,433.0,10.8,14.5,8.28,2,100
16.1,25.0,18.1,34.6,4.49,3.52,13.6,704.0,11.5,26.9,37.5,2,100
34.9,16.1,54.2,562.0,71.7,13.0,27.6,737.0,9.73,18.4,18.9,2,100
153.0,82.0,33.4,48.7,8.28,11.9,28.6,710.0,16.1,47.0,36.5,2,100
129.0,161.0,54.2,79.1,23.5,34.9,70.4,2788.0,6.55,7.64,34.0,2,100
33.4,17.5,23.9,16.5,1.0,7.91,21.5,578.0,7.5,30.2,24.1,2,100
31.9,33.4,64.9,474.0,77.0,40.3,46.6,1176.0,9.22,15.5,12.6,2,100
25.9,16.7,14.7,217.0,36.8,87.4,151.0,2839.0,3.49,51.4,2.21,2,100
98.2,67.9,11.1,79.1,6.04,9.56,21.3,470.0,51.4,93.1,178.0,2,100
55.2,31.3,53.3,253.0,50.9,13.2,25.5,1176.0,12.2,26.2,30.8,2,100
25.9,20.2,10.4,179.0,17.8,15.3,36.8,1155.0,4.14,14.2,7.99,2,100
45.3,31.1,23.1,30.0,12.1,8.35,24.6,573.0,9.91,18.9,20.7,2,100
53.8,31.6,29.7,40.0,14.5,57.3,89.0,1894.0,13.8,35.2,39.6,2,100
43.7,34.6,24.8,14.7,5.88,28.9,67.3,1275.0,22.5,42.6,63.8,2,100
196.0,113.0,14.2,92.2,2.41,11.7,15.0,638.0,7.57,22.1,25.9,2,100
30.8,20.7,28.4,30.0,12.7,13.6,16.5,509.0,10.6,24.8,18.3,2,100
21.3,23.5,18.3,85.1,7.37,22.5,37.5,466.0,28.9,56.7,63.8,2,100
34.6,17.8,25.7,30.5,4.53,16.3,31.6,615.0,8.51,12.9,16.8,2,100
30.2,17.3,61.5,122.0,72.3,9.56,26.4,583.0,7.5,22.9,13.8,2,100
30.2,25.3,56.2,573.0,75.0,10.6,23.7,449.0,13.2,31.1,38.9,2,100
30.2,11.8,21.5,25.5,11.5,6.73,19.3,204.0,5.47,13.2,23.7,2,100
132.0,95.6,19.1,23.7,11.2,35.5,53.3,1144.0,25.3,60.4,123.0,2,100
49.6,39.6,37.5,53.8,13.9,7.77,22.1,57.3,21.9,49.6,70.4,2,100
33.4,16.0,23.1,32.2,8.51,29.7,40.0,557.0,13.3,9.06,10.0,2,100
47.0,47.8,15.8,117.0,14.7,24.4,36.2,1000.0,10.5,37.9,94.7,2,100
72.3,25.7,13.0,3.16,7.91,37.9,115.0,982.0,17.0,37.9,41.8,2,100
139.0,91.4,19.5,70.4,7.23,13.0,22.5,414.0,7.04,20.5,2.55,2,100
33.4,22.7,16.5,18.3,11.5,29.2,54.2,433.0,16.3,41.8,75.0,2,100
92.2,79.9,108.0,221.0,1084.0,121.0,205.0,2503.0,10.5,16.0,25.5,2,100
32.5,23.7,28.1,28.1,22.5,31.3,44.9,610.0,18.4,53.3,115.0,2,100
35.2,18.6,20.7,24.1,4.07,12.9,26.4,538.0,9.31,27.6,60.4,2,100
138.0,105.0,2.48,15.3,9.47,1.24,5.23,62.1,8.51,37.5,26.2,2,100
37.5,23.1,13.3,292.0,7.3,9.39,38.2,1731.0,9.39,17.3,25.7,2,100
37.9,8.66,17.3,33.4,7.91,20.2,45.7,2267.0,8.28,22.7,14.5,2,100
75.0,50.9,16.4,29.7,9.14,61.0,108.0,1395.0,7.3,17.3,40.3,2,100
38.2,26.2,30.0,27.6,6.49,20.2,24.8,509.0,17.2,35.2,17.8,2,100
26.7,18.6,48.7,44.1,3.79,14.1,16.3,791.0,7.99,20.9,21.9,2,100
30.5,22.9,22.1,27.1,6.44,59.9,113.0,1554.0,2.39,82.0,2.02,2,100
59.9,47.0,18.8,193.0,32.2,10.5,25.9,667.0,13.5,32.8,49.1,2,100
37.9,22.7,35.9,274.0,33.1,2.94,16.4,649.0,21.5,48.3,41.8,2,100
36.2,17.5,47.8,160.0,20.9,59.4,101.0,1395.0,11.7,20.9,20.5,2,100
43.3,27.1,33.4,30.2,11.9,9.73,20.7,215.0,3.05,20.9,1.0,2,100
45.7,25.5,15.8,189.0,8.28,52.3,84.3,1420.0,11.3,42.9,36.2,2,100
31.6,27.9,18.6,57.8,13.1,7.37,10.5,276.0,6.49,16.1,35.2,2,100
200.0,95.6,8.58,16.4,3.62,36.5,67.9,991.0,9.91,22.9,11.7,2,100
34.9,15.5,23.7,79.9,16.1,36.2,57.8,1144.0,5.47,19.6,26.7,2,100
178.0,99.1,14.7,24.1,10.2,14.2,15.1,567.0,106.0,151.0,30.0,2,100
94.7,38.2,16.1,211.0,32.2,16.0,28.9,538.0,9.39,19.6,9.91,2,100
24.4,18.4,15.7,18.3,3.37,12.9,33.1,750.0,8.28,15.3,12.3,2,100
55.2,55.2,8.43,146.0,21.5,13.6,27.9,649.0,7.17,21.7,23.3,2,100
50.9,47.4,20.4,24.6,2.02,10.2,28.1,982.0,15.8,51.4,77.0,2,100
54.2,34.3,12.0,139.0,19.6,12.3,18.8,621.0,6.26,18.8,37.9,2,100
41.0,26.9,20.0,17.3,7.77,25.0,36.5,649.0,11.7,15.1,18.8,2,100
27.1,27.1,17.9,17.5,6.38,6.21,22.1,372.0,11.2,25.3,47.4,2,100
36.5,25.3,26.9,255.0,20.4,73.0,154.0,3106.0,10.1,38.5,41.0,2,100
